frame,num_bubbles,mean_diam_px,void_fraction
0,33,97.9090909090909,0.03481143904320988
1,33,97.9090909090909,0.034814332561728396
2,30,106.66666666666667,0.03439332561728395
3,32,92.03125,0.03458960262345679
4,32,92.03125,0.03459153163580247
5,36,83.19444444444444,0.0344507137345679
6,36,83.19444444444444,0.03445119598765432
7,38,87.3157894736842,0.03434558256172839
8,36,84.77777777777777,0.03629292052469136
9,36,84.77777777777777,0.03629292052469136
10,37,83.67567567567568,0.03665027006172839
11,37,83.67567567567568,0.03665846836419753
12,39,84.15384615384616,0.036589023919753084
13,34,89.79411764705883,0.03696373456790124
14,34,89.79411764705883,0.036964216820987654
15,36,85.5,0.03708622685185185
16,36,85.5,0.03708478009259259
17,44,77.38636363636364,0.03716338734567901
18,41,76.41463414634147,0.037390046296296296
19,41,76.41463414634147,0.037408854166666665
20,35,85.48571428571428,0.03742332175925926
21,35,85.48571428571428,0.037430073302469134
22,37,87.43243243243244,0.0371802662037037
23,34,93.02941176470588,0.03873119212962963
24,34,93.05882352941177,0.03873215663580247
25,38,78.97368421052632,0.036636284722222225
26,38,78.47368421052632,0.03661651234567901
27,41,82.8780487804878,0.036494020061728395
28,40,78.175,0.03617862654320988
29,40,78.35,0.036200327932098764
30,37,88.4054054054054,0.03600163966049383
31,37,88.45945945945945,0.03601610725308642
32,36,94.58333333333333,0.03570457175925926
33,35,98.6,0.035909529320987656
34,35,98.57142857142857,0.035893614969135804
35,36,95.69444444444444,0.03583043981481481
36,36,95.69444444444444,0.035808738425925926
37,35,97.71428571428571,0.0357933063271605
38,37,93.05405405405405,0.03582802854938272
39,37,93.08108108108108,0.035846836419753086
40,37,84.67567567567568,0.03579041280864197
41,37,84.70270270270271,0.035810667438271604
42,34,91.05882352941177,0.035642843364197534
43,32,103.09375,0.0359399112654321
44,32,103.25,0.03594039351851852
45,29,114.27586206896552,0.03586612654320988
46,30,110.63333333333334,0.03585262345679013
47,31,96.93548387096774,0.035502025462962966
48,35,94.17142857142858,0.03368778935185185
49,34,96.32352941176471,0.03369791666666667
50,34,91.67647058823529,0.033460165895061726
51,34,91.67647058823529,0.03345100308641975
52,31,93.19354838709677,0.03340711805555555
53,28,101.89285714285714,0.03349199459876543
54,28,101.85714285714286,0.033473668981481484
55,30,96.13333333333334,0.03335792824074074
56,30,96.1,0.033331404320987655
57,30,100.56666666666666,0.03319540895061728
58,30,96.26666666666667,0.033249421296296294
59,30,96.2,0.03326340663580247
60,29,103.06896551724138,0.03298900462962963
61,29,103.06896551724138,0.032982253086419756
62,28,105.10714285714286,0.032741126543209875
63,28,105.5,0.032719907407407406
64,28,105.53571428571429,0.032712191358024695
65,27,107.70370370370371,0.0322950424382716
66,27,107.66666666666667,0.03227671682098766
67,30,101.8,0.03200906635802469
68,31,93.6774193548387,0.03194926697530864
69,31,93.25806451612904,0.031967592592592596
70,27,107.0,0.03306471836419753
71,26,110.92307692307692,0.0330516975308642
72,27,108.11111111111111,0.03322964891975309
73,29,101.62068965517241,0.03345052083333333
74,29,101.58620689655173,0.03343460648148148
75,27,106.85185185185185,0.03365113811728395
76,29,100.24137931034483,0.0336279899691358
77,28,104.39285714285714,0.033638117283950615
78,27,107.66666666666667,0.03380835262345679
79,27,107.74074074074075,0.033815104166666665
80,29,102.41379310344827,0.03359809027777778
81,29,102.37931034482759,0.03358940972222222
82,33,92.66666666666667,0.03378086419753087
83,36,88.11111111111111,0.03353925540123457
84,36,88.08333333333333,0.03351996527777778
85,35,90.54285714285714,0.033634741512345676
86,34,93.02941176470588,0.0336352237654321
87,31,96.61290322580645,0.03504967206790124
88,27,114.07407407407408,0.03478105709876543
89,27,114.07407407407408,0.03480131172839506
90,29,105.37931034482759,0.034474826388888886
91,29,105.34482758620689,0.034487364969135806
92,27,112.62962962962963,0.03429494598765432
93,26,115.88461538461539,0.03418643904320988
94,26,115.88461538461539,0.034203800154320986
95,27,110.07407407407408,0.033745659722222224
96,27,109.96296296296296,0.033717689043209875
97,28,107.57142857142857,0.033991126543209876
98,28,112.21428571428571,0.03361545138888889
99,27,116.11111111111111,0.033659336419753084
100,28,111.46428571428571,0.03351417824074074
101,28,111.42857142857143,0.03351417824074074
102,27,117.03703703703704,0.0338695987654321
103,27,116.25925925925925,0.03366030092592592
104,27,116.22222222222223,0.03365788966049383
105,25,124.24,0.033606770833333334
106,25,124.24,0.03361641589506173
107,29,113.72413793103448,0.03380931712962963
108,29,112.44827586206897,0.03338300540123457
109,29,112.44827586206897,0.033400848765432097
110,30,107.96666666666667,0.0330396412037037
111,31,104.70967741935483,0.03297694830246914
112,32,101.65625,0.0330102237654321
113,29,109.86206896551724,0.03242380401234568
114,29,109.86206896551724,0.032410783179012345
115,31,101.29032258064517,0.03196711033950617
116,31,101.29032258064517,0.03197193287037037
117,30,104.56666666666666,0.03206983024691358
118,30,103.7,0.03178771219135802
119,30,103.7,0.03180217978395062
120,29,105.96551724137932,0.03159722222222222
121,29,105.96551724137932,0.03160059799382716
122,30,102.26666666666667,0.03166087962962963
123,30,101.6,0.031597704475308644
124,30,101.63333333333334,0.03158613040123457
125,27,111.5925925925926,0.0315330825617284
126,27,111.5925925925926,0.03152391975308642
127,26,115.57692307692308,0.03142795138888889
128,27,116.14814814814815,0.031281828703703704
129,27,116.18518518518519,0.03127893518518519
130,28,112.96428571428571,0.031340181327160495
131,28,112.96428571428571,0.031342592592592596
132,28,114.14285714285714,0.03148582175925926
133,27,117.55555555555556,0.03141444830246914
134,27,117.44444444444444,0.03141589506172839
